Upload Type,Publication Type,Image Type,Publication Date,Title,Creators,Description,Access Right,License,Embargo Date,Access Conditions,DOI,Prereserve DOI,Keywords,Notes,Related Identifiers,Contributors,References,Communities,Grants,Journal Title
,,,2018-01-13,Demo NMR record of benzo[a]pyrene,[object Object],<p>NMR Record of of benzo[a]pyrene</p>,open,[object Object],,,10.5281/zenodo.1146869,,"demo,nmredata",,,,,[object Object],,
,,,2018-01-13,Demo NMR record of benzo[a]pyrene,[object Object],<p>NMR Record of of benzo[a]pyrene</p>,open,[object Object],,,10.5281/zenodo.1146869,,"demo,nmredata",,,,,[object Object],,
,,,2021-09-02,Chemistry data identification report,[object Object],This is the description field - could be html,open,[object Object],,,10.5281/zenodo.5374178,,"CHEMeDATA,NMReDATA,NMR",This is the note field - could be html - or empty. It has yellow background,,,,"[object Object],[object Object]",,
,,,2021-09-02,Chemistry data identification report,[object Object],This is the description field - could be html,open,[object Object],,,10.5281/zenodo.5374178,,"CHEMeDATA,NMReDATA,NMR",This is the note field - could be html - or empty. It has yellow background,,,,"[object Object],[object Object]",,
,,,2017-10-06,A cross-platform format to associate NMR-extracted data (NMReDATA) to chemical structures,[object Object],<p>Poster presented at the smash conference 2017</p>,open,[object Object],,,10.5281/zenodo.1003192,,,,,,,[object Object],,
,,,2017-10-06,A cross-platform format to associate NMR-extracted data (NMReDATA) to chemical structures,[object Object],<p>Poster presented at the smash conference 2017</p>,open,[object Object],,,10.5281/zenodo.1003192,,,,,,,[object Object],,
,,,2021-03-18,NMR spectra,[object Object],"<p>NMR spectra of paper</p>

<p>Application of multiplet structure deconvolution to extract scalar coupling constants from 1D NMR spectra</p>

<p>Damien Jeannerat and Carlos Cobas</p>",open,[object Object],,,10.5281/zenodo.4616665,,"nmr,jcamp",,,,,,,
,,,2021-03-18,NMR spectra,[object Object],"<p>NMR spectra of paper</p>

<p>Application of multiplet structure deconvolution to extract scalar coupling constants from 1D NMR spectra</p>

<p>Damien Jeannerat and Carlos Cobas</p>",open,[object Object],,,10.5281/zenodo.4616665,,"nmr,jcamp",,,,,,,
,,,2021-07-08,cheminfo/nmr-dataset3: NMRium link,"[object Object],[object Object]","<p>Opened spectra with <a href=""https://www.nmrium.org/nmrium#?toc=https%3A%2F%2Fcheminfo.github.io%2Fnmr-dataset3%2Fmultiplet%2Findex.json"">NMRium</a>.</p>",open,[object Object],,,10.5281/zenodo.5081868,,,,[object Object],,,,,
,,,2021-07-08,cheminfo/nmr-dataset3: NMRium link,"[object Object],[object Object]","<p>Opened spectra with <a href=""https://www.nmrium.org/nmrium#?toc=https%3A%2F%2Fcheminfo.github.io%2Fnmr-dataset3%2Fmultiplet%2Findex.json"">NMRium</a>.</p>",open,[object Object],,,10.5281/zenodo.5081868,,,,[object Object],,,,,
